ID,References,Extracts,Facts,Factors,Groups,Sub Groups,Notes/Additional,Glossary Check
11,Page 12,"The ICT Strategic Plan is driven by the overarching priorities of NSW Health
as defined by the Results and Services Plan and NSW Health Plan. To
ensure that the ICT portfolio is closely aligned with the RSP and Corporate
Plan, NSW Health has taken the following steps:
From the RSP:
• Selected those results and associated services which will be dependent
on the ICT assets working well
• Identified ICT asset-related risks which may prevent achievement of
services and results
• Identified those services and service measures which will depend on
the ICT assets working well.
From the NSW Health Corporate Plan identified:
• The ultimate goal or vision for the community
• The contribution NSW Health will make towards achieving this goal or
vision
• The focus for achieving the goal or vision, including intended
outcomes, risks and strategies
• Strategies for measuring where performance targets have been met
• The cost of achieving the goal or vision and meeting performance
targets.
The outcome of this has informed the development of the ICT portfolio
aimed at effectively supporting services needs.","From the RSP:
They've picked out results and services that rely on ICT assets.
They've identified risks related to ICT assets that could affect service delivery.
They've pinpointed services and measures that hinge on ICT assets working properly.

From the NSW Health Corporate Plan:
They've considered the overall vision for the community.
They've outlined how NSW Health will contribute to this vision.
They've focused on strategies to achieve goals, along with potential risks.
They've set up ways to measure performance and ensure targets are met.
They've looked at the costs involved in reaching the vision and meeting targets.",Performance monitoring,System Maintenance and Support,Responsive Support,,In Glossary
12,Page 13,"2.4 Criteria for inclusion in ICT Strategy and Investment
Plan
ICT priorities are set and reviewed annually. Each initiative is evaluated
against 5 principles to determine the priority of the project and its position
in the investment program. The principles are:
• Level of contribution to major service reform agendas and
alignment with planned NSW Health Results and Services, priorities
and plans.
• Extent to which the project supports the patient journey across
multiple care settings and improves the quality and safety of health
care for the largest number of people.
• Capacity to deliver improvements in efficiency and effectiveness in
healthcare delivery and workforce utilisation.
• Degree of conformance with state ICT strategic planning
requirements.
• Level of potential to generate a positive return on investment.","    Contribution to major service reform agendas and alignment with planned NSW Health priorities and plans.
    Support for the patient journey across different care settings and improvement of healthcare quality and safety for a large number of people.
    Ability to enhance efficiency and effectiveness in healthcare delivery and workforce utilization.
    Adherence to state ICT strategic planning requirements.
    Potential to generate a positive return on investment.","Inclusion & equity
Scope management
Investment planning","Data and Information Management
Program and Project Management
Financial Management and Budgeting","Data governance
Strategic Project Leadership
Budget control",,"In Glossary
In Glossary
In Glossary"
13,Page 13,"2.5 Upgrade process
It is intended that only new initiatives should be included in the forward
investment program. The ongoing requirement to replace existing systems
should be addressed through the procurement and contractual process to
ensure NSW Health has access to future product upgrades through the
support and maintenance agreements formulated with vendors.","They should only add new projects to their investment plan. When it's time to replace old systems, they can handle it through contracts with vendors.","Project prioritization
System deployment
User support
Performance monitoring","Program and Project Management
System Deployment and Integration
Consumer Experience and Support
System Maintenance and Support","Strategic Project Leadership
Reliable Implementation
Customer service
Responsive Support",,"In Glossary
In Glossary
In Glossary
In Glossary"
14,Page 14,"3 Where we want to be in 2011
By 2011 we plan to have implemented the core clinical and corporate
systems across NSW to support patient journeys through the health system
and to provide the corporate systems and management information needed
to manage the health system efficiently.
Implementation of the ICT Strategy will deliver benefits at five levels –
individual patients and clinicians, Clinical Departments, Hospital, Area wide
and State.","By 2011, they plan to have core clinical and corporate systems set up across NSW. This will help patients move through the healthcare system smoothly and ensure efficient management. Implementing the ICT Strategy will bring benefits to patients, clinicians, departments, hospitals, areas, and the whole state.","Collaboration & teamwork
User support
Workforce sustainability","Collaboration and Communication
Consumer Experience and Support
System Maintenance and Support","Teamwork enhancement
Customer service
Responsive Support",,"In Glossary
In Glossary
In Glossary"
15,Page 14,"3.1 Benefits to the individual patient and clinician
From a clinical perspective, the end-goal of the strategy is to achieve a
‘single view of the patient’. The single view of the patient means that every
clinician involved in the patients care (doctors, nurses, pharmacists,
physiotherapists etc…) have a full understanding of the patients complete
care needs and medical history. They can understand what other
practitioners’ roles and contributions are and can work together effectively
as a team across all parts of the system. Corporate systems are in place to
effectively support the delivery of clinical care and support s single
employee view.","For patients and clinicians, the goal is to have a complete picture of the patient's health history. This way, all healthcare providers can work together effectively, knowing each other's roles and contributions. Corporate systems also support this by giving a clear view of employees, making sure care is delivered smoothly","User-centric optimization
Service accessibility
Process efficiency","Operational Effectiveness and Efficiency
Consumer Experience and Support
Operational Effectiveness and Efficiency","Process optimization
Customer service
Process optimization",,"In Glossary
In Glossary
In Glossary"
16,Page 14,"The strategy benefits the patient as it means that all the information
clinicians need to deliver the best possible care, with an optimal outcome is
easily available whenever and wherever it is needed.
This helps clinicians by reducing the time they spend trying to locate
information or unnecessarily repeating tests, increasing the time they have
available for direct patient care.","The strategy benefits patients by ensuring clinicians have all the information they need for optimal care, easily accessible whenever and wherever it's needed. This saves clinicians time by reducing the need to search for information or repeat tests unnecessarily, giving them more time for direct patient care.","Resource allocation
Process efficiency
Future system planning","Business Alignment
Operational Effectiveness and Efficiency
Future Planning and System Demand","Strategic Cohesion
Process optimization
Futureproofing",,"In Glossary
In Glossary
In Glossary"
17,Page 15,"For example a Nursing Unit Manager (NUM) on a ward can more effectively
plan and care for patients with a full understanding of all demands, such as
patients waiting in the ED, coming from surgery and being transferred in,
and of ward capacity such as current available beds, pending available
beds, quarantined beds and staff availability and skills sets","Nursing Unit Manager (NUM) can plan patient care better when they know all the demands and resources. This includes patients from the emergency room, post-surgery, and transfers, as well as available beds and staff skills.","Performance monitoring
Resource allocation
Funding & cost control","System Maintenance and Support
Business Alignment
Financial Management and Budgeting","Responsive Support
Strategic Cohesion
Budget control",,"In Glossary
In Glossary
In Glossary"
18,Page 15,"At Hospital, Area and Department executive levels, a complete portfolio
allows an integrated analysis of health outcome indicators, demand for
services, resource availability, clinical and support services performance
and financial management.","At hospital, area, and department executive levels, having a complete portfolio lets them look at health outcomes, service demand, resources, performance, and finances all together.","Project prioritization
Resource allocation
Service delivery","Program and Project Management
Business Alignment
Operational Effectiveness and Efficiency","Strategic Project Leadership
Strategic Cohesion
Process optimization",,"In Glossary
In Glossary
In Glossary"
19,Page 15,"The ICT Strategy is focused on the priority areas or activities required to
underpin these and will be addressing them in its forward strategy as
resources and funding become available. Other initiatives will only be
added to the ICT work plan if they do not compromise delivery of these
core functions, or to address an urgent issue.",The ICT Strategy focuses on key areas and will address them as resources allow. Other initiatives will only be added if they don't affect these core functions or if there's an urgent need.,"Process efficiency
User-centric optimization
Resource allocation
Service accessibility","Operational Effectiveness and Efficiency
Operational Effectiveness and Efficiency
Business Alignment
Consumer Experience and Support","Process optimization
Process optimization
Strategic Cohesion
Customer service",,"In Glossary
In Glossary
In Glossary
In Glossary"
20,Page 15,"3.2 Department level benefits
By 2011 clinical departments will have access to systems that improve work
flow within the Department, provide decision support for clinicians and
access to information needed to support the most effective management of
resources. This will mean that clinicians will have immediate access to
critical information to make sure that the right decisions are made for
patients. This, combined with rules built into clinical systems and better
communication between staff in the department, will mean better and safer
care for patients","By 2011, clinical departments will have improved systems for workflow, decision-making support, and accessing necessary information. This helps clinicians make better decisions for patients, leading to safer care","System interoperability
Service accessibility
Resource allocation","Compliance and Governance
Consumer Experience and Support
Business Alignment","Regulatory adherence
Customer service
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary"
21,Page 15,"3.3 Hospital level benefits The implementation of well integrated core systems across a hospital, including for
example Results Reporting, Order Management, Patient Administration Systems, Scheduling and Human
Resources means that information can be collected once and be accessible to all who need it. This will
minimise problems at handover and allow enterprise wide management of human and other resources to increase efficiency and
reduce access block as patient’s move between departments. Good
information allows the patient journey to be more efficient allowing time to
see more patients.","Integrated hospital systems mean information is collected once and available to all, reducing handover issues and improving resource management for smoother patient care.","Integration capabilities
Service accessibility
Resource allocation
Standardization
Collaboration & teamwork","System Deployment and Integration
Consumer Experience and Support
Business Alignment
Operational Effectiveness and Efficiency
Collaboration and Communication","Reliable Implementation
Customer service
Strategic Cohesion
Process optimization
Teamwork enhancement",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
22,Page 15/16,"Information & Communication Technology (ICT) Strategy Where we want to be in 2011
15
For example a Nursing Unit Manager (NUM) on a ward can more effectively
plan and care for patients with a full understanding of all demands, such as
patients waiting in the ED, coming from surgery and being transferred in,
and of ward capacity such as current available beds, pending available
beds, quarantined beds and staff availability and skills sets.
At Hospital, Area and Department executive levels, a complete portfolio
allows an integrated analysis of health outcome indicators, demand for
services, resource availability, clinical and support services performance
and financial management.
The ICT Strategy is focused on the priority areas or activities required to
underpin these and will be addressing them in its forward strategy as
resources and funding become available. Other initiatives will only be
added to the ICT work plan if they do not compromise delivery of these
core functions, or to address an urgent issue.
3.2 Department level benefits
By 2011 clinical departments will have access to systems that improve work
flow within the Department, provide decision support for clinicians and
access to information needed to support the most effective management of
resources. This will mean that clinicians will have immediate access to
critical information to make sure that the right decisions are made for
patients. This, combined with rules built into clinical systems and better
communication between staff in the department, will mean better and safer
care for patients.
3.3 Hospital level benefits
The implementation of well
integrated core systems
across a hospital, including for
example Results Reporting,
Order Management, Patient
Administration Systems,
Scheduling and Human
Resources means that
information can be collected
once and be accessible to all
who need it. This will
minimise problems at
handover and allow enterprise
wide management of human and other resources to increase efficiency and
reduce access block as patient’s move between departments. Good
information allows the patient journey to be more efficient allowing time to
see more patients.
3.4 Area level benefits
Areas will benefit from the implementation of these systems as they will
have access to standardised information from all facilities to manage their
resources more effectively, support planning and demand management and
management of patient transfers between hospitals in their Area with
Information & Communication Technology (ICT) Strategy Where we want to be in 2011
16
minimum duplication of diagnostic procedures and delays for patients.
Improved communication between hospitals and clinicians in the
community will support patient care better once they leave hospital and
reduce the risk of readmission","The ICT Strategy aims to improve patient care by giving Nursing Unit Managers better information to plan and care for patients, helping hospital executives manage resources and performance, making it easier for departments to access important info and make decisions, integrating key systems across hospitals for smoother patient care, and standardizing information across regions to manage resources and patient transfers more effectively","System deployment
Standardization
Resource allocation
Future system planning","System Deployment and Integration
Operational Effectiveness and Efficiency
Business Alignment
Future Planning and System Demand","Reliable Implementation
Process optimization
Strategic Cohesion
Futureproofing",,"In Glossary
In Glossary
In Glossary
In Glossary"
23,Page 16,"3.5 State level benefits
Implementation of core systems across NSW will deliver significant
benefits. While benefits are derived at each level, the full value of ICT will
be achieved when these systems are implemented across all Areas.
Standardised clinical and corporate information, collected as a by product
of patient care, provides support for NSW Health to achieve the targets set
under the Results and Services Plan by improving patient journeys across
the health system, improving timely access to services, strengthening co-
ordination and integration across the health system. Accurate information
will allow better utilisation of resources and management of future
demand.","Rolling out core systems across NSW will have big benefits. Everyone gains, but it's best when the whole state uses them. Standardized info will help NSW Health meet goals by improving patient care, ensuring timely access to services, and better coordination in the health system. Accurate data will help use resources better and manage future needs.","Service delivery
Performance monitoring
Future system planning","Operational Effectiveness and Efficiency
System Maintenance and Support
Future Planning and System Demand","Process optimization
Responsive Support
Futureproofing",,"In Glossary
In Glossary
In Glossary"
24,Page 17,"A steady increase in demand for services from an ageing population. In
NSW, the proportion of people over 65 is increasing rapidly. In every
year between 2012 and 2028, the aged share of the Australian
population is projected to increase by more than 0.35 percentage
points – an increase around 4 times the long term average.","A steady increase in demand for services is expected due to an aging population. In NSW, the number of people over 65 is growing quickly. Each year from 2012 to 2028, the percentage of older Australians is projected to rise by over 0.35 points annually, which is about four times the long-term average increase.","Workforce sustainability
Risk identification & mitigation
Resource allocation","System Maintenance and Support
Risk Identification and Management
Business Alignment","Responsive Support
Accountable Risk Management
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary"
25,Page 17,"Staff shortages in critical areas such as nursing and medicine
Hospitals running at maximum capacity",Staff shortages in critical areas such as nursing and medicine Hospitals running at maximum capacity,"Data management
Performance monitoring
Future system planning","Data and Information Management
System Maintenance and Support
Future Planning and System Demand","Data governance
Responsive Support
Futureproofing",,"In Glossary
In Glossary
In Glossary"
26,Page 17,"The rate of chronic diseases including heart diseases, pulmonary
diseases, diabetes and cancer is increasing. The rate of obesity in our
younger population is on the rise and our increasingly globalised
society increases the risk of pandemics","The rate of chronic diseases like heart disease, lung disease, diabetes, and cancer is rising. Obesity is becoming more common among young people, and our increasingly globalized society raises the risk of pandemics.","Knowledge & content management
Technology advancement","Data and Information Management
System and Technology Improvement","Data governance
Innovative Evolution",,"In Glossary
In Glossary"
27,Page 17,"An increasing body of medical knowledge that staff cannot manage and
use without advanced IT systems","An increasing body of medical knowledge that staff cannot manage and
use without advanced IT systems","Funding & cost control
Technology advancement","Financial Management and Budgeting
System and Technology Improvement","Budget control
Innovative Evolution",,"In Glossary
In Glossary"
28,Page 17,Health services are increasingly challenged by more expensive medical technologies and pharmaceuticals,Health services are increasingly challenged by more expensive medical technologies and pharmaceuticals,"Consumer experience
Service delivery
High-risk environment","Consumer Experience and Support
Operational Effectiveness and Efficiency
Risk Identification and Management","Customer service
Process optimization
Accountable Risk Management",,"In Glossary
In Glossary
In Glossary"
29,Page 17,"Consumers are becoming more informed, have higher expectations and more complex problems","Consumers are becoming more informed, have higher expectations and more complex problems","Consumer experience
Service delivery
High-risk environment","Consumer Experience and Support
Operational Effectiveness and Efficiency
Risk Identification and Management","Customer service
Process optimization
Accountable Risk Management",,"In Glossary
In Glossary
In Glossary"
30,Page 17,"Quality and safety standards are challenged as demands increase and
there are fewer staff to manage them. For example, from 2000 to 2005
the average occupancy for NSW hospitals stood at a high 93%. Some
metropolitan hospitals’ surgical and medical wards average 95-98%,
when 85% is generally considered a much safer working capacity for
these beds.","Quality and safety standards are being challenged as demand increases and staff numbers decrease. For instance, from 2000 to 2005, NSW hospitals had an average occupancy of 93%. Some metropolitan hospitals had surgical and medical wards with 95-98% occupancy, while 85% is considered a much safer level.","Communication standards
Policy & governance reform
Skills development
Workforce sustainability","Standardization and Streamlining Processes
Policy and Organizational Reform
Employee Training and Development
System Maintenance and Support","Consistent Excellence
Governance with Integrity
Employee development
Responsive Support",,"In Glossary
In Glossary
In Glossary
In Glossary"
31,Page 17,"In the period July to December 2007 57,808 incidents were reported.
The key factors that cause these adverse events are:
 Communication
 Policies and procedures
 Knowledge, skills and competence issues
 Work scheduling","The key factors that cause these adverse events are:
 Communication
 Policies and procedures
 Knowledge, skills and competence issues
 Work scheduling","System deployment
Business reform & strategy","System Deployment and Integration
Business Alignment","Reliable Implementation
Strategic Cohesion",,"In Glossary
In Glossary"
32,Page 17,"Clinical ICT is becoming an increasingly important enabler of health
system reform, yet the core systems to underpin reform are not
currently in place.","Clinical ICT is becoming an increasingly important enabler of health
system reform, yet the core systems to underpin reform are not
currently in place.",Integration capabilities,System Deployment and Integration,Reliable Implementation,,In Glossary
33,Page 17,"Constraints in capital and recurrent funding, skilled project
management and implementation resources and capacity of the health
systems to accommodate large scale change all restrict the potential
speed of implementation of core systems.","Constraints in capital and recurrent funding, skilled project
management and implementation resources and capacity of the health
systems to accommodate large scale change all restrict the potential
speed of implementation of core systems.","Funding & cost control
Skilled project execution
Workforce sustainability","Financial Management and Budgeting
Program and Project Management
System Maintenance and Support","Budget control
Strategic Project Leadership
Responsive Support",,"In Glossary
In Glossary
In Glossary"
34,Page 17,"There are many competing demands for the funds that are available
for ICT. Determining priority and scheduling projects into the forward
program is complex and requires ongoing review to ensure funds
continue to be allocated in areas of greatest potential benefit.",There are many competing demands for ICT funds. Deciding which projects to prioritize and schedule is complex and needs ongoing review to ensure funds are allocated where they will be most beneficial.,"Funding & cost control
Project prioritization
Scope management","Financial Management and Budgeting
Program and Project Management
Program and Project Management","Budget control
Strategic Project Leadership
Strategic Project Leadership",,"In Glossary
In Glossary
In Glossary"
35,Page 18,"When considered collectively, the convergence of issues creates an
environment of significant risk that must be addressed. The only way NSW
Health can realistically meet these challenges is to change the way it
delivers services. NSW Health has embarked on a major clinical and
corporate reform program to address these issues. The implementation of
appropriate IT solutions to support staff and embed business processes is
critical to ensuring this change is sustainable",NSW Health needs to change how it delivers services to meet these challenges. They've started a big reform program and need the right IT solutions to support staff and make these changes last,"Risk identification & mitigation
High-risk environment
Service delivery","Risk Identification and Management
Risk Identification and Management
Operational Effectiveness and Efficiency","Accountable Risk Management
Accountable Risk Management
Process optimization",,"In Glossary
In Glossary
In Glossary"
36,Page 19,"5 Strategic Response to Key Challenges
5.1 NSW Health Strategic Framework
There are a number of key drivers that are influencing NSW Health
strategic directions. These relate to both the demand for health services,
driven by factors such as the aging population, and supply within health,
for example workforce shortages in key areas of the health system. The
wider government priorities and directions, such as the Council of
Australian Government priorities around Mental Health and Health
workforce and whole of government ICT strategies also drive the strategic
directions and investment decisions of NSW Health","NSW Health is responding to big challenges like more people needing healthcare and not enough staff. They're looking at what the government wants, like improving mental health and using better technology. That helps them decide what to do next and where to spend money.","Service delivery
Workforce sustainability
Government priorities & guidelines
Strategic alignment","Operational Effectiveness and Efficiency
System Maintenance and Support
Business Alignment
Business Alignment","Process optimization
Responsive Support
Strategic Cohesion
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary
In Glossary"
37,Page 19,"At the highest level, the Results and Services Plan sets the strategic
directions for all NSW Health Programs. This is supported by a number of
strategic programs aimed at delivering the Results and Services Plan.
The ICT Strategic Plan aims to support the Results and Services Plan by
ensuring close alignment with the reform programs and strategies
underpinning the Results and Services Plan. All levels of NSW Health
planning take into consideration the NSW whole of government and
National strategies","The Results and Services Plan guides everything in NSW Health. There are other plans helping out too. The ICT Strategic Plan is one of them, making sure it works well with the main plan. They also look at what the whole government and the country are doing.","Strategic alignment
Policy & governance reform
Business reform & strategy
Government priorities & guidelines","Business Alignment
Policy and Organizational Reform
Business Alignment
Business Alignment","Strategic Cohesion
Governance with Integrity
Strategic Cohesion
Strategic Cohesion",,"In Glossary
In Glossary
In Glossary
In Glossary"
38,Page 20/21,"5.2 Results and Services Plan (RSP)
The RSP represents NSW Health’s primary strategic response to the
challenges faced by NSW Health. NSW Health has four primary goals:
1. To keep people healthy
2. To provide the health care that people need
3. To deliver high quality services
4. To manage health services well
These are underpinned by seven key strategic directions:
• Make prevention everybody’s business
• Create better experiences for people using health services
• Strengthen primary health and continuing care in the community
• Build regional and other partnerships for health.
Make smart choices about costs and benefits of health services
• Build a sustainable the health workforce
• Be ready for new risks and opportunities","The RSP is NSW Health's main plan to tackle challenges. They have four main goals:
Keep people healthy
Provide needed healthcare
Deliver top-quality services
Manage health services well

To achieve these, they focus on seven key directions:
Get everyone involved in prevention
Improve people's healthcare experiences
Strengthen community care
Work with others for better health
Make wise choices about healthcare costs
Build a strong healthcare workforce
Stay prepared for new challenges and chances","Consumer experience
Future system planning
Collaboration & teamwork
Funding & cost control
Workforce sustainability
Risk identification & mitigation","Consumer Experience and Support
Future Planning and System Demand
Collaboration and Communication
Financial Management and Budgeting
System Maintenance and Support
Risk Identification and Management","Customer service
Futureproofing
Teamwork enhancement
Budget control
Responsive Support
Accountable Risk Management",,"In Glossary
In Glossary
In Glossary
In Glossary
In Glossary
In Glossary"
39,Page 21,"5.2.1 Strategic Goal 1: To keep people healthy
Reducing risk factors in the population is a major strategic objective for
NSW Health. NSW Health is increasing the focus on health promotion and
preventing illness and implementing strategies to increase immunisation
rates, reduce the impact of chronic disease, reduce diabetes through
interventions for people at high risk. ICT can support many of these
strategies by providing automatic alerts about risk factors, such as gaps in
immunisations, or overdue screening or check ups.'",NSW Health wants to prevent sickness and promote good health habits. They're focusing on getting more people vaccinated and helping those at risk for diseases like diabetes. ICT can help by sending alerts about things like missed vaccinations or overdue check-ups,"Risk identification & mitigation
Consumer experience
Preventative solutions","Risk Identification and Management
Consumer Experience and Support
Financial Management and Budgeting","Accountable Risk Management
Customer service
Budget control",,"In Glossary
In Glossary
In Glossary"
